sede_id,pais_iso_3
CALEG,BRA
CANTO,CHL
CAREN,CHL
CASUN,PRY
CATLA,USA
CBARC,ESP
CBEIJ,CHN
CBELO,BRA
CBONN,DEU
CCADI,ESP
CCEST,PRY
CCHIC,USA
CCOCH,BOL
CCOLO,URY
CCONC,CHL
CCURI,BRA
CENCA,PRY
CFBEN,URY
CFDIG,BRA
CFLOR,BRA
CFRAN,DEU
CGEST,TUR
CGMUM,IND
CGPAZ,BOL
CGTEL,ISR
CGUAN,CHN
CGUAY,ECU
CGVAN,CAN
CHAMB,DEU
CHONG,CHN
CHOUS,USA
CJOHA,ZAF
CLANG,USA
CLIMA,PER
CLOND,GRB
CMADR,ESP
CMALD,URY
CMALL,ESP
CMDEO,URY
CMEXI,MEX
CMIAM,USA
CMILA,ITA
CMREA,CAN
CNYOR,USA
CPABL,BRA
CPAYS,URY
CPCAR,MEX
CPMON,CHL
CRECI,BRA
CRIOJ,BRA
CROMA,ITA
CSBAH,BRA
CSCRS,BOL
CSHAN,CHN
CSIDN,AUS
CSIGO,CHL
CSLTO,URY
CTARI,BOL
CTENE,ESP
CTORO,CAN
CURUG,BRA
CVALP,CHL
CVIGO,ESP
CVILL,BOL
CYACU,BOL
DIGAC,ARG
EALEM,DEU
EANGO,AGO
EARAB,SAU
EARGE,DZA
EARME,ARM
EASIR,SYR
EAUST,AUS
EAZER,AZE
EBANG,BGD
EBARB,BRB
EBELG,BEL
EBOLV,BOL
EBRAS,BRA
EBULG,BGR
ECANA,CAN
ECEUR,BEL
ECHES,CZE
ECHIN,CHN
ECOLO,COL
ECORE,KOR
ECUBA,CUB
EDINA,DNK
EDOMI,DOM
EEARB,ARE
EECUA,ECU
EEEUU,USA
EEGIP,EGY
EEOEA,USA
EESPA,ESP
EETIO,ETH
EFILI,PHL
EFINL,FIN
EFRAN,FRA
EFRUS,RUS
EGREC,GRC
EGUAT,GTM
EGUYA,GUY
EHAIT,HTI
EHILE,CHL
EHOND,HND
EINDI,IND
EIRAN,IRN
EIRLA,IRL
EISIA,IDN
EISRA,ISR
EITAL,ITA
EJAMA,JAM
EJAPO,JPN
EKENY,KEN
EKUWA,KWT
ELBIA,LBY
ELBNO,LBN
ELUCI,LCA
EMARR,MAR
EMEXI,MEX
EMFAO,ITA
EMOZA,MOZ
EMSIA,MYS
EMSUR,URY
ENAUN,USA
ENICA,NIC
ENIGE,NGA
ENORU,NOR
ENZEL,NZL
EOIRS,CHE
EPAKI,PAK
EPARA,PRY
EPBAJ,NLD
EPERU,PER
EPNMA,PAN
EPOLO,POL
EPORT,PRT
EQATR,QAT
ERICA,CRI
ERUMA,ROU
ERUNI,GRB
ESAFR,ZAF
ESALV,SLV
ESENE,SEN
ESERB,SRB
ESING,SGP
ESSED,VAT
ESUEC,SWE
ESUIZ,CHE
ESURI,SUR
ETAIL,THA
ETRIA,AUT
ETRIN,TTO
ETUNE,TUN
ETURQ,TUR
EUCRA,UKR
EUNES,FRA
EUNGR,HUN
EURUG,URY
EVENE,VEN
EVIET,VNM
OCCAT,CHN
REPAL,PSE
